Age,Bennett Beach,Peter Lunt,Arthur Scott,David Sahnow,Mike Duncan,Betty Blank,Marlene Cimons,Edward Hagarty,John Stanmore,Lizzie Sadoff,Jay Wind,Thomas Skelly,Adam Stolzberg,Bruce Kirch,Joseph Valenza,Catherine Bernier,John Burnheimer,Kate Mount,John Reinhard,David Trip
24,1:01:00,,,,,,,,,,,,1:12:00,,,,,,,
25,0:58:00,,,,,,,,,,,,1:08:00,,,,,,,
26,0:59:00,,,1:12:00,,,,,,,,,1:11:00,1:06:00,,,,,,
27,0:54:00,,,1:12:00,,,,,,,,,1:09:00,1:09:00,,,1:05:00,,,
28,0:54:00,1:04:00,,1:10:00,,,,,,,,,1:10:00,1:12:00,,,1:06:00,,,
29,0:53:00,1:03:00,,1:09:00,,,,,,,,,1:08:00,1:08:00,,,1:07:00,,,
30,0:53:00,1:01:00,,1:15:00,,,,,,,,,1:06:00,1:12:00,,,1:05:00,,,
31,0:54:00,1:01:00,,1:12:00,,,,,,,,,1:04:00,1:19:00,,,1:08:00,,,
32,0:55:00,1:03:00,1:34:00,1:14:00,,,,,,,,,1:05:00,1:14:00,,,1:04:00,,,
33,0:55:00,1:01:00,1:33:00,1:10:00,,1:05:00,,,,,,,1:04:00,1:10:00,,,1:05:00,,,
34,0:53:00,1:01:00,1:26:00,1:14:00,,1:06:00,,,,,,,1:02:00,1:14:00,,,1:06:00,,,
35,0:53:00,1:01:00,1:32:00,1:16:00,,1:06:00,,,1:12:00,,,,1:04:00,1:16:00,,1:33:00,1:10:00,,,
36,0:53:00,1:01:00,1:22:00,1:19:00,,1:07:00,1:26:00,,1:09:00,,,,1:00:00,1:17:00,,1:24:00,1:06:00,,1:27:00,1:04:00
37,0:56:00,1:06:00,1:37:00,1:14:00,,1:11:00,1:28:00,,1:12:00,,,,1:00:00,1:22:00,,1:33:00,1:08:00,,1:11:00,1:03:00
38,0:54:00,1:03:00,1:26:00,1:10:00,,1:08:00,1:28:00,,1:16:00,,,1:02:00,1:01:00,1:27:00,,1:32:00,1:08:00,,1:09:00,1:07:00
39,0:55:00,1:02:00,1:24:00,1:16:00,1:07:00,1:07:00,1:22:00,,1:20:00,,,0:59:00,0:57:00,1:17:00,,1:37:00,1:09:00,1:40:00,1:07:00,1:01:00
40,0:53:00,1:08:00,1:23:00,1:14:00,1:14:00,1:09:00,1:18:00,,1:32:00,,,0:59:00,1:02:00,1:22:00,,1:37:00,1:12:00,1:37:00,1:26:00,0:59:00
41,0:54:00,1:04:00,1:25:00,1:15:00,1:17:00,1:20:00,1:24:00,,1:22:00,,,0:59:00,1:01:00,1:21:00,1:10:00,1:29:00,1:15:00,1:41:00,1:21:00,0:59:00
42,0:55:00,1:07:00,1:19:00,1:15:00,1:15:00,1:10:00,1:25:00,1:29:00,1:25:00,,,1:01:00,1:04:00,1:19:00,1:13:00,1:32:00,1:13:00,1:28:00,1:19:00,0:59:00
43,0:58:00,1:04:00,1:19:00,1:21:00,1:21:00,1:09:00,1:23:00,1:34:00,1:33:00,,,1:01:00,1:02:00,1:21:00,1:10:00,1:40:00,1:12:00,1:44:00,1:20:00,1:00:00
44,0:56:00,1:03:00,1:23:00,1:19:00,1:12:00,1:11:00,1:26:00,1:20:00,1:35:00,,,1:01:00,,1:27:00,1:12:00,1:32:00,1:12:00,1:44:00,1:24:00,1:03:00
45,0:57:00,1:05:00,1:21:00,1:18:00,1:13:00,1:08:00,1:26:00,1:36:00,1:31:00,,1:03:00,1:06:00,,1:28:00,1:11:00,1:38:00,1:19:00,1:36:00,1:27:00,1:03:00
46,0:56:00,1:03:00,1:21:00,1:16:00,1:12:00,1:12:00,1:26:00,1:20:00,1:27:00,,1:01:00,1:09:00,,1:28:00,1:11:00,1:46:00,1:21:00,1:37:00,1:29:00,1:05:00
47,1:14:00,1:05:00,1:21:00,1:20:00,1:11:00,1:09:00,1:26:00,1:18:00,1:39:00,,1:01:00,1:10:00,,1:28:00,1:13:00,1:37:00,1:15:00,1:39:00,1:30:00,1:04:00
48,1:33:00,1:04:00,1:24:00,1:20:00,1:10:00,1:08:00,1:36:00,1:19:00,1:20:00,1:25:00,0:58:00,1:10:00,,1:30:00,1:12:00,1:43:00,1:21:00,1:45:00,1:29:00,1:05:00
49,0:58:00,1:08:00,1:23:00,1:16:00,1:15:00,1:10:00,1:31:00,1:24:00,1:18:00,1:23:00,0:59:00,1:12:00,,,1:13:00,1:47:00,,1:35:00,1:28:00,1:06:00
50,1:17:00,1:09:00,1:28:00,1:20:00,1:16:00,1:09:00,1:39:00,1:24:00,1:13:00,1:24:00,1:01:00,1:10:00,,,1:16:00,1:40:00,,1:43:00,1:29:00,1:08:00
51,1:03:00,1:07:00,1:24:00,1:19:00,1:12:00,1:10:00,1:43:00,1:46:00,1:12:00,1:25:00,1:02:00,1:13:00,,,1:18:00,1:39:00,,1:49:00,1:27:00,1:09:00
52,1:03:00,1:05:00,1:26:00,1:12:00,1:11:00,1:12:00,1:45:00,1:23:00,1:09:00,1:26:00,1:02:00,1:13:00,,,1:25:00,1:44:00,,1:42:00,1:31:00,1:09:00
53,1:07:00,1:08:00,1:28:00,1:21:00,1:19:00,1:09:00,1:43:00,1:33:00,1:30:00,1:27:00,1:05:00,1:15:00,,,1:19:00,1:34:00,,1:46:00,1:35:00,1:15:00
54,1:02:00,1:08:00,1:27:00,1:20:00,1:33:00,1:11:00,1:37:00,1:32:00,1:25:00,1:30:00,1:06:00,1:17:00,,,1:22:00,1:48:00,,1:45:00,1:34:00,1:16:00
55,1:05:00,1:11:00,1:23:00,1:20:00,1:39:00,1:10:00,1:39:00,1:25:00,1:19:00,1:33:00,1:11:00,1:20:00,,,1:26:00,1:45:00,,1:50:00,1:32:00,1:15:00
56,1:10:00,1:09:00,1:31:00,1:21:00,1:28:00,1:15:00,1:43:00,1:22:00,1:17:00,1:28:00,1:12:00,1:19:00,,,1:19:00,1:52:00,,1:48:00,1:44:00,1:35:00
57,1:12:00,1:10:00,1:30:00,,1:26:00,1:14:00,1:48:00,1:19:00,,1:29:00,1:15:00,1:22:00,,,1:20:00,1:48:00,,1:38:00,,
58,1:16:00,1:13:00,1:31:00,,1:33:00,1:13:00,1:45:00,1:18:00,,1:30:00,1:15:00,1:35:00,,,1:20:00,,,1:49:00,,
59,1:33:00,1:14:00,1:33:00,,1:33:00,,1:51:00,1:19:00,,1:31:00,1:10:00,1:34:00,,,1:21:00,,,1:50:00,,
60,1:37:00,,,,1:35:00,,1:52:00,1:48:00,,1:33:00,1:12:00,,,,1:21:00,,,2:02:00,,
61,1:39:00,,,,1:30:00,,2:02:00,1:28:00,,1:37:00,1:17:00,,,,1:25:00,,,,,
62,1:37:00,,,,1:26:00,,,1:29:00,,1:33:00,1:13:00,,,,1:22:00,,,,,
63,1:37:00,,,,1:32:00,,,1:28:00,,1:34:00,1:13:00,,,,1:22:00,,,,,
64,1:34:00,,,,,,,1:29:00,,1:29:00,1:13:00,,,,,,,,,
65,1:30:00,,,,,,,,,1:23:00,1:10:00,,,,,,,,,
66,1:27:00,,,,,,,,,1:40:00,1:45:00,,,,,,,,,
67,1:40:00,,,,,,,,,1:27:00,1:27:00,,,,,,,,,
68,1:34:00,,,,,,,,,1:29:00,1:23:00,,,,,,,,,
69,1:50:00,,,,,,,,,1:31:00,,,,,,,,,,
70,1:44:00,,,,,,,,,,,,,,,,,,,
